"004800575120303","900003","ALASKA CONDENSE MILK 300ML    ","68.000","PC ","","","250","Milk                     ","228","Milk                     ","30001","ALASKA MILK CORPORATION            ","09082015",""
"004800575890572","900006","ALPNSTRLZCRMILK200ML          ","27.000","PC ","","","250","Milk                     ","228","Milk                     ","30001","ALASKA MILK CORPORATION            ","09072015",""
"004800575410251","900007","ALASKA CHOCO SLIM PACK 236ML  ","27.000","PC ","","","210","Chocolate & Cocoa Drink  ","202","Chocolate & Cocoa Drink  ","30001","ALASKA MILK CORPORATION            ","09082015",""
"004800575493230","900008","ALASKA SWT MILK SLIM PCK 236ML","27.000","PC ","","","210","Milk RTD                 ","207","Milk RTD                 ","30001","ALASKA MILK CORPORATION            ","09082015",""
"004800575420182","900009","ALASKA YOGHURT STRWBRY 180ML  ","22.000","PC ","","","220","Yogurt & Pasteurized Drin","213","Yogurt & Pasteurized Drin","30001","ALASKA MILK CORPORATION            ","09082015",""
"004800575421189","900010","ALASKA YOGHURT BLUEBRY 180ML  ","22.000","PC ","","","220","Yogurt & Pasteurized Drin","213","Yogurt & Pasteurized Drin","30001","ALASKA MILK CORPORATION            ","09072015",""
"004800818807176","900015","FRUTOS CHEWY FRUIT 25G        ","6.000","PC ","","","230","Candies                  ","214","Candies                  ","30002","COLUMBIA INTERNATIONAL FOOD PRODUCT","09082015",""
"006942836703288","900025","HERSHEYS ALM KISS 36G         ","60.000","PC ","","","230","Chocolates               ","215","Chocolates               ","30003","VALIANT DISTRIBUTION INC           ","09082015",""
"006942836704117","900026","HERSHEYS MILK CHOCO KISS 43G  ","60.000","PC ","","","230","Chocolates               ","215","Chocolates               ","30003","VALIANT DISTRIBUTION INC           ","09082015",""
"006942836703615","900027","HERSHEYS COOKIESNCRM KISS 36G ","60.000","PC ","","","230","Chocolates               ","215","Chocolates               ","30003","VALIANT DISTRIBUTION INC           ","09082015",""
"34000240005    ","900028","HERSHEYS MILK CHOCO BAR 43G   ","58.000","PC ","","","230","Chocolates               ","215","Chocolates               ","30003","VALIANT DISTRIBUTION INC           ","09072015",""
"3424102        ","900029","HERSHEYS ALMOND BAR 41G       ","60.000","PC ","","","230","Chocolates               ","215","Chocolates               ","30003","VALIANT DISTRIBUTION INC           ","09082015",""
"006942836703820","900030","HERSHEYS COOKIESNCRM BAR 40G  ","58.000","PC ","","","230","Chocolates               ","215","Chocolates               ","30003","VALIANT DISTRIBUTION INC           ","09072015",""
"007622300601768","900036","TANG PINEAPPLE25G             ","13.000","PC ","","","250","Juices Instant           ","227","Juices Instant           ","30004","MONDELEZ PHILIPPINES, INC.         ","09072015",""
"007622300559991","900037","TANG ORANGE 30G               ","13.000","PC ","","","250","Juices Instant           ","227","Juices Instant           ","30004","MONDELEZ PHILIPPINES, INC.         ","09082015",""
"008992760221028","900043","OREO SANDWICH VANILLA 137 G   ","52.000","PC ","","","260","Biscuits                 ","230","Biscuits                 ","30004","MONDELEZ PHILIPPINES, INC.         ","09072015",""
"004893049130007","900044","OREO SAND DBL STUF 152.4 G    ","58.000","PC ","","","260","Biscuits                 ","230","Biscuits                 ","30004","MONDELEZ PHILIPPINES, INC.         ","09072015",""
"006901668062093","900045","CHIPS AHOY 85.5G              ","49.000","PC ","","","260","Biscuits                 ","230","Biscuits                 ","30004","MONDELEZ PHILIPPINES, INC.         ","09072015",""
"008992760223015","900047","OREO SANDWICH CHOCO 137G      ","52.000","PC ","","","260","Biscuits                 ","230","Biscuits                 ","30004","MONDELEZ PHILIPPINES, INC.         ","09082015",""
"004893049000430","900048","CHIPS AHOY 38G                ","22.000","PC ","","","260","Biscuits                 ","230","Biscuits                 ","30004","MONDELEZ PHILIPPINES, INC.         ","09082015",""
"004808647010026","900055","CHEEZ WHIZ REG 220G           ","93.000","PC ","","","280","Spreads                  ","244","Spreads                  ","30004","MONDELEZ PHILIPPINES, INC.         ","09082015",""
"004808647010057","900056","CHEEZ WHIZPIMNTO220G          ","100.000","PC ","","","280","Spreads                  ","244","Spreads                  ","30004","MONDELEZ PHILIPPINES, INC.         ","09082015",""
"7622300501549  ","900057","CW EASY SQUEEZE115G           ","47.000","PC ","","","280","Spreads                  ","244","Spreads                  ","30004","MONDELEZ PHILIPPINES, INC.         ","09082015",""
"000000076145513","900062","TOBLERONE MILK 50G            ","71.000","PC ","","","230","Chocolates               ","215","Chocolates               ","30004","MONDELEZ PHILIPPINES, INC.         ","09072015",""
"007614500010013","900063","TOBLERONE MILK 100G           ","136.000","PC ","","","230","Chocolates               ","215","Chocolates               ","30004","MONDELEZ PHILIPPINES, INC.         ","09072015",""
"009556182017264","900064","CADBURY DAIRY MILK 15G        ","17.000","PC ","","","230","Chocolates               ","215","Chocolates               ","30004","MONDELEZ PHILIPPINES, INC.         ","09072015",""
"009556182023234","900065","CADBURY DAIRY MILK 30G        ","38.000","PC ","","","230","Chocolates               ","215","Chocolates               ","30004","MONDELEZ PHILIPPINES, INC.         ","09072015",""
"007614500010617","900068","TOBLERONE DARK 100G           ","139.000","PC ","","","230","Chocolates               ","215","Chocolates               ","30004","MONDELEZ PHILIPPINES, INC.         ","09072015",""
"004800054111228","900077","GROWERS  GARLIC FLAVOR  30G   ","15.000","PC ","","","260","Others Snacks            ","234","Others Snacks            ","30005","MARKETREACH DISTRIBUTORS INC.      ","09082015",""
"004800054111280","900078","GROWERS  GARLIC FLAVOR  80G   ","46.000","PC ","","","260","Others Snacks            ","234","Others Snacks            ","30005","MARKETREACH DISTRIBUTORS INC.      ","09072015",""
"004800054112225","900079","GROWERS  SAVOURY  HOT  30G    ","15.000","PC ","","","260","Others Snacks            ","234","Others Snacks            ","30005","MARKETREACH DISTRIBUTORS INC.      ","09082015",""
"004800054112287","900080","GROWERS  SAVOURY  HOT  80G    ","49.000","PC ","","","260","Others Snacks            ","234","Others Snacks            ","30005","MARKETREACH DISTRIBUTORS INC.      ","09072015",""
"004800130910127","900088","GSM BLUE LONGNECK 700ML       ","90.000","PC ","","","310","Spirits                  ","303","Spirits                  ","30006","GINEBRA SAN MIGUEL INC             ","09082015",""
"004800130440280","900090","GSM BLUE LIGHT 700ML          ","90.000","PC ","","","310","Spirits                  ","303","Spirits                  ","30006","GINEBRA SAN MIGUEL INC             ","09082015",""
"004800130910103","900096","GMAT SOLERA 700ML             ","90.000","PC ","","","310","Spirits                  ","303","Spirits                  ","30006","GINEBRA SAN MIGUEL INC             ","09082015",""
"004800130010063","900102","GSM PREMIUM GIN 750ML         ","147.000","PC ","","","310","Spirits                  ","303","Spirits                  ","30006","GINEBRA SAN MIGUEL INC             ","09082015",""
"004800130010209","900103","DONENRIQUE MIXKILA 700ML      ","230.000","PC ","","","310","Spirits                  ","303","Spirits                  ","30006","GINEBRA SAN MIGUEL INC             ","09082015",""
"004800130010216","900104","ANTONOV CLASSIC 700ML         ","156.000","PC ","","","310","Spirits                  ","303","Spirits                  ","30006","GINEBRA SAN MIGUEL INC             ","09072015",""
"004800130010742","900108","ANTONOV ICE 330ML             ","35.000","PC ","","","310","Spirits                  ","303","Spirits                  ","30006","GINEBRA SAN MIGUEL INC             ","05192015",""
"000000075032715","900113","CORONA XTRABEER355ML          ","105.000","PC ","","","310","Beer                     ","301","Beer                     ","30146","PHILIPPINE WINE MERCHANTS          ","09082015",""
"008936061260072","900114","SAPPORO BEERBTL330ML          ","95.000","PC ","","","310","Beer                     ","301","Beer                     ","30146","PHILIPPINE WINE MERCHANTS          ","09082015",""
"008936061260096","900115","SAPPORO BEERCAN330ML          ","82.000","PC ","","","310","Beer                     ","301","Beer                     ","30146","PHILIPPINE WINE MERCHANTS          ","09082015",""
"003012997561300","900116","BARDINET NAPPLEON VSOP 1L     ","380.000","PC ","","","310","Spirits                  ","303","Spirits                  ","30146","PHILIPPINE WINE MERCHANTS          ","09082015",""
"004750021000072","900117","STOLI VODKA 750ML             ","650.000","PC ","","","310","Beer                     ","301","Beer                     ","30146","PHILIPPINE WINE MERCHANTS          ","09082015",""
"007501054834748","900118","SOMBRERO NEGRO750ML           ","550.000","PC ","","","310","Beer                     ","301","Beer                     ","30146","PHILIPPINE WINE MERCHANTS          ","09082015",""
"3012992422002  ","900119","SIR EDWARDS750ML              ","600.000","PC ","","","310","Beer                     ","301","Beer                     ","30146","PHILIPPINE WINE MERCHANTS          ","09082015",""
"007804414005940","900123","TERRA VEGA CBERNET SVIGNON 750","315.000","PC ","","","310","Wine                     ","305","Wine                     ","30146","PHILIPPINE WINE MERCHANTS          ","09082015",""
"7804414005971  ","900124","TERRA VMERLOT750ML            ","315.000","PC ","","","310","Wine                     ","305","Wine                     ","30146","PHILIPPINE WINE MERCHANTS          ","09072015",""
"007804414005452","900126","TERRA VBLANCSWT750ML          ","315.000","PC ","","","310","Wine                     ","305","Wine                     ","30146","PHILIPPINE WINE MERCHANTS          ","09072015",""
"500267024233   ","900135","JOHNNIE WALKER BLACK 700ML    ","1370.000","PC ","","","310","Spirits                  ","303","Spirits                  ","30116","DIAGEO PHILIPPINES INC.            ","09282015",""
"3012993045811  ","900136","SIR EDWARDS 12 YRS 750ML      ","935.000","PC ","","","310","Spirits                  ","303","Spirits                  ","30146","PHILIPPINE WINE MERCHANTS          ","09082015",""
"008410162100128","900138","FUNDADOR 700ML                ","490.000","PC ","","","310","Spirits                  ","303","Spirits                  ","30146","PHILIPPINE WINE MERCHANTS          ","09082015",""
"007501035042131","900139","JOSE CUERVO GOLD 700ML        ","1030.000","PC ","","","310","Spirits                  ","303","Spirits                  ","30146","PHILIPPINE WINE MERCHANTS          ","09072015",""
"007312040017010","900140","ABSOLUT BLUE 700ML            ","715.000","PC ","","","310","Spirits                  ","303","Spirits                  ","30146","PHILIPPINE WINE MERCHANTS          ","09072015",""
"005010677025003","900141","BACARDI GOLD750ML             ","529.000","PC ","","","310","Spirits                  ","303","Spirits                  ","30146","PHILIPPINE WINE MERCHANTS          ","09082015",""
"009414453912734","900143","VCRUISER RSPBRY 275ML         ","78.000","PC ","","","310","Spirits                  ","303","Spirits                  ","30146","PHILIPPINE WINE MERCHANTS          ","09232015",""
"009414453906078","900144","VCRUISER BLBRY 275ML          ","78.000","PC ","","","310","Spirits                  ","303","Spirits                  ","30146","PHILIPPINE WINE MERCHANTS          ","09232015",""
"009414453923679","900145","VCRUISER MUDSHK 270ML         ","97.000","PC ","","","310","Spirits                  ","303","Spirits                  ","30146","PHILIPPINE WINE MERCHANTS          ","09232015",""
"009311043078293","900146","HARDYS MERLOT 750ML           ","380.000","PC ","","","310","Wine                     ","305","Wine                     ","30146","PHILIPPINE WINE MERCHANTS          ","09082015",""
"004806508630000","900147","NVLINO CLSSCO750ML            ","260.000","PC ","","","310","Wine                     ","305","Wine                     ","30146","PHILIPPINE WINE MERCHANTS          ","09082015",""
"004800086036209","900162","S SUP PISTACHIO N CASHEW 1.5L ","280.000","PC ","","","220","Ice Cream - Tub          ","212","Ice Cream - Tub          ","50002","UNILEVER RFM ICE CREAM INC.        ","09072015",""
"004800086035967","900164","S SUPREME DOUBLE DUTCH1.5L    ","280.000","PC ","","","220","Ice Cream - Tub          ","212","Ice Cream - Tub          ","50002","UNILEVER RFM ICE CREAM INC.        ","09072015",""
"004800086040879","900165","S SUPREME DOUBLEDUTCH750ML    ","140.000","PC ","","","220","Ice Cream - Tub          ","212","Ice Cream - Tub          ","50002","UNILEVER RFM ICE CREAM INC.        ","09082015",""
"004800086036186","900167","S SUPREME VERY ROCKY ROAD 1.5L","280.000","PC ","","","220","Ice Cream - Tub          ","212","Ice Cream - Tub          ","50002","UNILEVER RFM ICE CREAM INC.        ","09072015",""
"004800086040886","900168","S SUPREME VERY ROCKY ROAD750ML","140.000","PC ","","","220","Ice Cream - Tub          ","212","Ice Cream - Tub          ","50002","UNILEVER RFM ICE CREAM INC.        ","09082015",""
"004800086035929","900170","S SUPREME COOKIES N CREAM 1.5L","280.000","PC ","","","220","Ice Cream - Tub          ","212","Ice Cream - Tub          ","50002","UNILEVER RFM ICE CREAM INC.        ","09072015",""
"004800086040893","900171","S SUPREME COOKIES N CREAM750ML","140.000","PC ","","","220","Ice Cream - Tub          ","212","Ice Cream - Tub          ","50002","UNILEVER RFM ICE CREAM INC.        ","09082015",""
"004800086035905","900172","S SUPREME BUCO SALAD 1.5L     ","280.000","PC ","","","220","Ice Cream - Tub          ","212","Ice Cream - Tub          ","50002","UNILEVER RFM ICE CREAM INC.        ","09082015",""
"004800086040923","900173","S  SUPREME BUCO SALAD 750ML   ","140.000","PC ","","","220","Ice Cream - Tub          ","212","Ice Cream - Tub          ","50002","UNILEVER RFM ICE CREAM INC.        ","09082015",""
"004800086035943","900175","S SUPREME COFFEE CRUMBLE1.5L  ","280.000","PC ","","","220","Ice Cream - Tub          ","212","Ice Cream - Tub          ","50002","UNILEVER RFM ICE CREAM INC.        ","09072015",""
"004800086040909","900176","S SUPREME COFFEE CRUMBLE 750ML","140.000","PC ","","","220","Ice Cream - Tub          ","212","Ice Cream - Tub          ","50002","UNILEVER RFM ICE CREAM INC.        ","09082015",""
"004800086036162","900177","S SUPREME QUEZO REAL 1.5L     ","280.000","PC ","","","220","Ice Cream - Tub          ","212","Ice Cream - Tub          ","50002","UNILEVER RFM ICE CREAM INC.        ","09082015",""
"004800086040916","900178","S SUPREME QUEZO REAL 750ML    ","140.000","PC ","","","220","Ice Cream - Tub          ","212","Ice Cream - Tub          ","50002","UNILEVER RFM ICE CREAM INC.        ","09082015",""
"004800086038630","900182","S DSUP DBLEDUTCH VRCKY RD1.5L ","280.000","PC ","","","220","Ice Cream - Tub          ","212","Ice Cream - Tub          ","50002","UNILEVER RFM ICE CREAM INC.        ","09072015",""
"004800086038647","900183","S DSUP DBLEDUTCH VRCKY RD750ML","140.000","PC ","","","220","Ice Cream - Tub          ","212","Ice Cream - Tub          ","50002","UNILEVER RFM ICE CREAM INC.        ","09082015",""
"004800086040671","900187","S DSUP DBLEDTCH CKIESNCRM1.5ML","280.000","PC ","","","220","Ice Cream - Tub          ","212","Ice Cream - Tub          ","50002","UNILEVER RFM ICE CREAM INC.        ","09082015",""
"004800086040688","900188","S DSUP DBLEDTCH CKIESNCRM750ML","140.000","PC ","","","220","Ice Cream - Tub          ","212","Ice Cream - Tub          ","50002","UNILEVER RFM ICE CREAM INC.        ","09082015",""
"004800086040633","900190","S DSUP RCKY RD CKIESNCRM 1.5ML","280.000","PC ","","","220","Ice Cream - Tub          ","212","Ice Cream - Tub          ","50002","UNILEVER RFM ICE CREAM INC.        ","09082015",""
"004800086040657","900191","S DSUP RCKY RD CKIESNCRM 750ML","140.000","PC ","","","220","Ice Cream - Tub          ","212","Ice Cream - Tub          ","50002","UNILEVER RFM ICE CREAM INC.        ","09082015",""
"004800086039286","900202","S CO BRAND SUPREME KISSES 1.3L","286.000","PC ","","","220","Ice Cream - Tub          ","212","Ice Cream - Tub          ","50002","UNILEVER RFM ICE CREAM INC.        ","09082015",""
"004800086040992","900210","S CO BRAND OREOCOOKIESNCRM1.3L","286.000","PC ","","","220","Ice Cream - Tub          ","212","Ice Cream - Tub          ","50002","UNILEVER RFM ICE CREAM INC.        ","09082015",""
"004800086041036","900214","S CO BRND MRSFLDSCHOCOCHIP1.3L","286.000","PC ","","","220","Ice Cream - Tub          ","212","Ice Cream - Tub          ","50002","UNILEVER RFM ICE CREAM INC.        ","09082015",""
"004800086036001","900217","S SUPER THICK CLSSIC MANGO1.5L","256.000","PC ","","","220","Ice Cream - Tub          ","212","Ice Cream - Tub          ","50002","UNILEVER RFM ICE CREAM INC.        ","09082015",""
"004800086036094","900218","S SPRTHCK CLASSIC STRWBRRY1.5L","256.000","PC ","","","220","Ice Cream - Tub          ","212","Ice Cream - Tub          ","50002","UNILEVER RFM ICE CREAM INC.        ","09082015",""
"004800086036025","900220","S SUPERTHICK CLASSIC CHOC1.5L ","256.000","PC ","","","220","Ice Cream - Tub          ","212","Ice Cream - Tub          ","50002","UNILEVER RFM ICE CREAM INC.        ","09072015",""
